tweet_text,retweet_count,favorite_count,followers_count,original_tweet_screen_name,retweet_screen_name,original_tweet_created_at,retweet_created_at,retweet_id,original_tweet_id,original_tweet_coordinates,retweet_coordinates,original_tweet_user_id,retweet_user_id,search_id,timestamp,search_string,is_retweet,type,source,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,quoted_id,quoted_screen_name,quoted_user_id,quoted_created_at,quoted_coordinates,place_name,place_fullname,place_country,place_cc,place_bb,media,media_url,media_expanded_url
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,98,thuliobenvenuti,Alessandra,2019-05-31 19:02:46,2019-05-30 22:34:28,1134226599518396422,1134535708457279488,, ,763911808956633088,32342128, ,1559329366, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,44,thuliobenvenuti,Tv PILACO,2019-05-31 18:59:19,2019-05-30 22:34:28,1134226599518396422,1134534839842086912,, ,1636596793,32342128, ,1559329159, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
@ROODRIGOMATEUS Ei Bolsonaro  vai TNC!!!! Ah  disfarça  ele já está tomando  de tanto tiro no próprio pé. Kkkkkkkkkkk,1,0,22,ritacarletti,terezinha eyroff,2019-05-31 18:50:14,2019-05-31 18:12:43,1134523114547798029,1134532553728303105,, ,399090720,56450705, ,1559328614, ,True,Tweet,Twitter Web App,,,,,,,, ,,,,,,,,
“Ei Bolsonaro  vai tomar no cu!” ao vivo em rede nacional: foi agente que pediu sim!!! #30MpelaEducação,163,0,251,diImabr,Bianca Cunha,2019-05-31 18:42:07,2019-05-30 21:31:27,1134210740594905093,1134530513505591297,, ,44740015,116820742, ,1559328127, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,83,thuliobenvenuti,ⓅⓁⒶⓊⓉⓄ✊🇻🇳🇧🇷🇻🇳✊ⓋⒾⓂⒶⓇⒺⓈ,2019-05-31 18:34:11,2019-05-30 22:34:28,1134226599518396422,1134528515792089091,, ,1079700233901260800,32342128, ,1559327651, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
ei bolsonaro,0,0,157,,betaboy submisso,2019-05-31 18:31:53,,,1134527937053679619,, ,1118269942187593728,, ,1559327513, ,False,Tweet,Twitter Web App,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,162,thuliobenvenuti,Bibis Pereira,2019-05-31 18:30:55,2019-05-30 22:34:28,1134226599518396422,1134527695952515072,, ,1040728432144003082,32342128, ,1559327455, ,True,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
"""ei jovem pan  vai tomar no cu""gritavam em coro os manifestantes contra equipe de reportagem que cobria ao vivo ato pela educação em SP a Jovem Klan foi hostilizada pq é praticamente veículo de comunicação oficial do Bolsonaro e canal de propagação de idéias de extrema direita",10,0,1048,marcosmitri,Bia Del Manto,2019-05-31 18:21:07,2019-05-31 03:55:53,1134307486695972864,1134525229232021504,, ,73228254,121840651, ,1559326867, ,True,Tweet,Twitter Web App,,,,,,,, ,,,,,,,,
@ROODRIGOMATEUS Ei Bolsonaro  vai TNC!!!! Ah  disfarça  ele já está tomando  de tanto tiro no próprio pé. Kkkkkkkkkkk,1,1,9,,RITA CARLETTI,2019-05-31 18:12:43,,,1134523114547798029,, ,56450705,, ,1559326363, ,False,Reply,Twitter Web App,1134267998666207232,ROODRIGOMATEUS,53692255,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,318,thuliobenvenuti,Romario B.,2019-05-31 18:08:41,2019-05-30 22:34:28,1134226599518396422,1134522098834190336,, ,222629093,32342128, ,1559326121, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
imagina esse tanto de gente mandando um ei bolsonaro vai toma no cu https://t.co/0Qn2WoLz8K,60,0,186,bispo_mt,sté⚡,2019-05-31 18:06:59,2019-05-30 20:31:58,1134195770909966341,1134521672005050369,, ,787069262297006080,885694122048331776, ,1559326019, ,True,Retweet,Twitter for Android,,,,1134113996536258561,MariliaMReal,2921763658,2019-05-30 15:07:02, ,,,,,,,,
